Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"#1807 - 58 ORCHARD VIEW BLVD Toronto, ON",Midtown Toronto,599000,43.708008,-79.400787,M4R 0A2,Orchard View Boulevard
"4 A VIOLET AVE Toronto, ON",The Beach,2095000,43.668625,-79.296623,M4E 1B1,Violet Avenue
"#702 - 500 SHERBOURNE ST Toronto, ON",Downtown,375000,43.667915,-79.375679,M4X 1L1,Sherbourne Street
"#2115 - 763 BAY ST Toronto, ON",Downtown,339000,43.660103,-79.385086,M5G,Bay Street
"#406 - 707 DOVERCOURT RD Toronto, ON",Dufferin Grove,379900,43.660225,-79.428726,M6H 2W7,Dovercourt Road
"82 CHISHOLM AVE Toronto, ON",Woodbine - Lumsden,899900,43.690174,-79.304123,M4C 4V4,Chisholm Avenue
"#616 - 6 PARKWOOD AVE Toronto, ON",Midtown Toronto,579000,43.685623,-79.409592,M4V 2W9,Parkwood Avenue
"#414 - 22 LEADER LANE Toronto, ON",Downtown,579000,43.649246000000005,-79.375755,M5E 0B2,King Street East
"#525 - 36 BLUE JAYS WAY Toronto, ON",Downtown,359900,43.644932,-79.392143,M5V 3T3,Blue Jays Way
"6 GROVE AVE Toronto, ON",Trinity - Bellwoods,919000,43.647694,-79.42276,M6J 3B6,Grove Avenue
"90 FAIRLEIGH CRES Toronto, ON",Midtown Toronto,1399000,43.70208,-79.437904,M6C 3R9,Fairleigh Crescent
"40 MALLON AVE W Toronto, ON",Leslieville,859000,43.665805999999996,-79.33489200000001,M4M 1P8,Mallon Avenue
"#603 - 215 FORT YORK BLVD Toronto, ON",Niagara,289000,43.636345,-79.404808,M5V 4A2,Angelique Street
"#810 - 51 LOWER SIMCOE ST Toronto, ON",Entertainment District,560000,43.642208000000004,-79.383728,M5J 3A6,Lower Simcoe Street
"#1231 - 38 GRAND MAGAZINE ST Toronto, ON",Niagara,309900,43.637035,-79.402863,M5V 0B2,Sloping Sky Mews
"#407 - 105 THE QUEENSWAY AVE Toronto, ON",Swansea,269900,43.636173,-79.47075699999999,M6S 5B5,The Queensway
"#2407 - 35 BALMUTO ST Toronto, ON",Downtown,425000,43.669456,-79.387474,M4Y 0A3,Balmuto Street
"#609 - 222 THE ESPLANADE Toronto, ON",Downtown,395000,43.649731,-79.365303,M5A 4M8,The Esplanade
"#2 B - 36 HAZELTON AVE Toronto, ON",Midtown Toronto,1399999,43.671864,-79.393814,M5R 2E2,Hazelton Avenue
"#1315 - 150 EAST LIBERTY ST Toronto, ON",Liberty Village,375000,43.638775,-79.41626,M6K 3R5,Ontario
"#3614 - 18 YONGE ST Toronto, ON",Downtown,420000,43.644455,-79.37653399999999,M5E 1Z8,Old Toronto
"#703 - 1166 BAY ST Toronto, ON",Downtown,1525000,43.668617,-79.38943499999999,M5S 2B4,Bay Street
"#910 - 75 EAST LIBERTY ST Toronto, ON",Liberty Village,379900,43.638306,-79.414787,M6K 0A2,Old Toronto
"#2111 - 170 FORT YORK BLVD Toronto, ON",Downtown,449900,43.639343,-79.39984100000001,M5V 0E6,Ontario
"#1203 - 159 DUNDAS ST E Toronto, ON",Downtown,374000,43.656807,-79.37509200000001,M5B 0A9,Old Toronto
"1315 DANFORTH RD Toronto, ON",Eglinton East,699900,43.742371,-79.245285,M1J 1G2,Danforth Road
"#39 - 17 PEMBROKE ST Toronto, ON",Downtown,500000,43.656715000000005,-79.37155899999999,M5A 2N6,Pembroke Street
"#3010 - 2191 YONGE ST Toronto, ON",Davisville,415000,43.705597,-79.397453,M4S 3H8,Yonge Street
"#728 - 2 OLD MILL DR Toronto, ON",Lambton Baby Point,404900,43.648071,-79.486664,M6S,Old Mill Drive
"#211 - 2 OLD MILL DR Toronto, ON",Lambton Baby Point,514900,43.648071,-79.486664,M6S,Old Mill Drive
"#902 - 2261 LAKE SHORE BLVD W Toronto, ON",Mimico,699995,43.62001,-79.483086,M8V 3X1,Etobicoke
"#3005 - 2015 SHEPPARD AVE E Toronto, ON",Henry Farm,399000,43.775208,-79.336426,M2J 0A8,Sheppard Avenue East
"#1606 - 19 SINGER CRT Toronto, ON",Bayview Village,349900,43.769569,-79.369514,M2K 1C5,Singer Court
"129 WATSON AVE Toronto, ON",Lambton,959000,43.664501,-79.492035,M6S 4E3,Watson Avenue
"154 DUNBLAINE AVE Toronto, ON",Nortown,2698000,43.734093,-79.42907,M5M 2S3,Dunblaine Avenue
"24 CORONATION DR Toronto, ON",West Hill,669000,43.760899,-79.191841,M1E 2H1,Coronation Drive
"#210 - 165 CHEROKEE BLVD Toronto, ON",Pleasant View,385000,43.792374,-79.33669300000001,M2J 4T7,Cherokee Boulevard
"#5 - 175 TORYORK DR Toronto, ON",Humber Summit,312900,43.757954,-79.557304,M9L 2Y7,North York
"#905 - 120 HARRISON GARDEN BLVD Toronto, ON",Willowdale,399000,43.757988,-79.403625,M2N 0H1,Harrison Garden Boulevard
"93 DAIRY DR Toronto, ON",Scarborough Junction,678000,43.701309,-79.27533000000001,M1L 0G1,Dairy Drive
"#2010 - 100 MORNELLE CRT Toronto, ON",Morningside,255999,43.786823,-79.19548,M1E 4X2,Mornelle Court
"195 GILTSPUR DR Toronto, ON",Downsview,619900,43.738079,-79.50128199999999,M3L 1N4,Giltspur Drive
"#1016 - 55 DE BOERS DR Toronto, ON",Toronto,352500,43.75103,-79.465858,M3J 0G5,De Boers Drive
"#2308 - 2000 ISLINGTON AVE Toronto, ON",Kingsview Village,479900,43.697365000000005,-79.546089,M9P 3T5,Dixon Road
"#13 - 1415 KENNEDY RD Toronto, ON",Dorset Park,688888,43.764812,-79.280273,M1P 2L6,Scarborough
"3 JASMINE RD Toronto, ON",Humberlea,599000,43.721088,-79.538445,M9M 2P8,Weston Road
"#809 - 40 PANORAMA CRT Toronto, ON",Rexdale,59500,43.747585,-79.579842,M9V 4M1,Panorama Court
"35 MAGNOLIA AVE Toronto, ON",Kennedy Park,749000,43.720936,-79.254662,M1K 3K3,Harmony Avenue
"#513 - 4200 BATHURST ST Toronto, ON",Wilson Heights,294000,43.749321,-79.437149,M3H 6C7,North York
"#25 - 21 REPLIN RD Toronto, ON",Lawrence Heights,575000,43.717735,-79.44203900000001,M6A 2M8,North York
"198 GLENDORA AVE Toronto, ON",Willowdale,1528000,43.761971,-79.397667,M2N 2W5,Anndale Drive
"53 ASPENWOOD DR Toronto, ON",Hillcrest Village,2000000,43.807964,-79.366913,M2H 2E8,Aspenwood Drive
"627 CALEDONIA RD Toronto, ON",Briar Hill - Belgravia,650000,43.694396999999995,-79.462372,M6E 4V7,Caledonia Road
"#903 - 335 MILL RD Toronto, ON",Eringate - Centennial - West Deane,259900,43.639858000000004,-79.584564,M9C 1Y6,Mill Road
"#730 - 2885 BAYVIEW AVE Toronto, ON",Bayview Village,524888,43.767936999999996,-79.387955,M2K 0A3,Bayview Avenue
"124 GREENWICH SQ Toronto, ON",Eglinton East,699800,43.743881,-79.231148,M1J 3L3,Greenwich Square
"#2813 - 181 VILLAGE GREEN SQ Toronto, ON",Agincourt,293900,43.779205,-79.28151700000001,M1S 0K5,Village Green Square
"117 VEROBEACH BLVD Toronto, ON",Emery,699800,43.736176,-79.544945,M9M 1P8,Verobeach Boulevard
"43 JOHN CABOT WAY Toronto, ON",Jane and Finch,399900,43.738815,-79.51902,M3N 2T5,John Cabot Way
"#821 - 165 LEGION RD N Toronto, ON",Mimico,314900,43.624207,-79.488228,M8Y 0B3,Legion Road North
"63 JARWICK DR Toronto, ON",Bendale,639000,43.764198,-79.241608,M1H 2H1,Chatsmere Place
"22 MOSSBROOK CRES Toronto, ON",L'Amoreaux,699000,43.809433,-79.32437900000001,M1W 2W9,Mossbrook Crescent
"92 FRANK RIVERS DR Toronto, ON",Steeles,699900,43.818989,-79.32539399999999,M1W 3N4,Frank Rivers Drive
"90 CRITTENDEN SQ Toronto, ON",Malvern,549000,43.81366,-79.234749,M1B 1V1,Ontario
"#1304 - 2 ANNDALE DR Toronto, ON",Willowdale,418888,43.760464,-79.410248,M2N 0G5,Anndale Drive
"45 MILLENNIUM DR Toronto, ON",Brookhaven - Amesbury,599900,43.695271000000005,-79.497498,M6M 5K5,Millennium Drive
"6 WOODY VINEWAY WAY Toronto, ON",Bayview Village,529000,43.788269,-79.368301,M2J,Woody Vine Way
"84 MUIRHEAD RD Toronto, ON",Pleasant View,599000,43.780949,-79.339569,M2J 3W4,Muirhead Road
"#1101 - 335 MILL RD Toronto, ON",Eringate - Centennial - West Deane,419900,43.639858000000004,-79.584564,M9C 1Y6,Mill Road
"#2611 - 88 CORPORATE DR Toronto, ON",Woburn,355000,43.780956,-79.249779,M1H 3G6,Scarborough
"114 MEIGHEN AVE Toronto, ON",Woodbine Gardens,665000,43.703903000000004,-79.295723,M4B 2H7,Meighen Avenue
"821 B OXFORD ST Toronto, ON",Mimico,778900,43.621113,-79.507195,M8Z 6C6,Oxford Street
"132 ELVASTON DR Toronto, ON",Victoria Village,1388800,43.728958,-79.315933,M4A 1N6,Elvaston Drive
"#2102 - 155 BEECROFT RD Toronto, ON",Willowdale,299000,43.765537,-79.413155,M2N 7C5,Beecroft Road
"#1010 - 3043 FINCH WEST AVE Toronto, ON",Emery,309000,43.747166,-79.564651,M9M 0A6,North York
"571 CUMMER AVE Toronto, ON",Newtonbrook,1599000,43.793625,-79.387253,M2K 2M5,Cummer Avenue
"31 VESSEL CRES Toronto, ON",Port Union,756900,43.777721,-79.137276,M1C 5K7,Vessel Crescent
"#109 - 165 CHEROKEE BLVD Toronto, ON",Pleasant View,372000,43.792374,-79.33669300000001,M2J 4T7,Cherokee Boulevard
"37 GEMINI RD Toronto, ON",Bayview Woods - Steeles,1369000,43.788219,-79.388046,M2K 2G7,Gemini Road
"7 OVIDA AVE Toronto, ON",Eatonville,1569000,43.635109,-79.543159,M9B 1E2,Ovida Avenue
"#E 508 - 555 WILSON AVE Toronto, ON",Wilson Heights,319900,43.734035,-79.447968,M3H 0C6,Wilson Avenue
"#49 - 49 HENDON AVE Toronto, ON",Newtonbrook,520000,43.780727,-79.41999100000001,M2M 1A4,Hendon Avenue
"#1008 - 5 NORTHTOWN WAY Toronto, ON",Willowdale,335000,43.774994,-79.413467,M2N 7A1,Northtown Way
"#2504 - 2220 LAKE SHORE BLVD W Toronto, ON",Mimico,425000,43.62273,-79.483192,M8V 0C1,Lake Shore Boulevard West
"#108 - 275 BAMBURGH CIRC Toronto, ON",Steeles,381000,43.81361,-79.32341,M1W 3X4,Bamburgh Circle
"#1202 - 185 BONIS AVE Toronto, ON",Tam O'Shanter,338000,43.785804999999996,-79.292114,M1T 3W6,Bonis Avenue
"#2208 - 100 ANTIBES DR Toronto, ON",Newtonbrook,299000,43.780666,-79.44633499999999,M2R 3N1,Antibes Drive
"#509 - 525 WILSON AVE Toronto, ON",Wilson Heights,339900,43.734478,-79.446472,M3H 1V1,North York
"80 HEPSCOTT TERR Toronto, ON",L'Amoreaux,799000,43.793324,-79.327263,M1W 1E1,Hepscott Terrace
"#27 - 242 JOHN GARLAND BLVD Toronto, ON",Rexdale,200000,43.733540000000005,-79.592949,M9V 1N8,John Garland Boulevard
"7 LANDOUR AVE Toronto, ON",Silverthorn,829000,43.687645,-79.477287,M6M 4J3,Landour Avenue
"4937 DUNDAS ST W Toronto, ON",Islington,54900,43.648006,-79.529228,M9A 1B6,Dundas Street West
"90 GLEN PARK AVE Toronto, ON",Midtown Toronto,1395000,43.711784,-79.43515,M6B 2C3,Glen Park Avenue
"#1210 - 275 BAMBURGH CIRC Toronto, ON",Steeles,269000,43.81361,-79.32341,M1W 3X4,Bamburgh Circle
"225 ATLAS AVE Toronto, ON",Midtown Toronto,1420000,43.688213,-79.433723,M6C 3P6,Atlas Avenue
"108 AYLESWORTH AVE Toronto, ON",Birch Cliff,455000,43.701328000000004,-79.264549,M1N 2J6,Aylesworth Avenue
"567 MELROSE AVE Toronto, ON",Nortown,2388000,43.727737,-79.42942,M5M 2A4,Melrose Avenue
"55 LAURIE SHEPWAY WAY Toronto, ON",Don Valley Village,669000,43.773926,-79.361595,M2J 1X6,Laurie Shepway
"33 PUMA DR Toronto, ON",L'Amoreaux,599000,43.802258,-79.29860699999999,M1V 1J7,Puma Drive
"#155 - 68 DRIFTWOOD AVE Toronto, ON",Jane and Finch,239900,43.753849,-79.513535,M3N 2M5,Driftwood Avenue
"17 WHITBREAD CRES Toronto, ON",Jane and Finch,575000,43.74192,-79.509659,M3L 2A8,Whitbread Crescent
"36 CASTLEBAR RD Toronto, ON",The Queensway,849500,43.631695,-79.510124,M8Z 2J6,Uno Drive
"92 BLANTYRE AVE Toronto, ON",Birch Cliff,2348900,43.678131,-79.280182,M1N 2R5,Blantyre Avenue
"#302 - 801 SHEPPARD AVE W Toronto, ON",Wilson Heights,318000,43.752891999999996,-79.449783,M3H 2T3,Sheppard Avenue West
"#601 - 1888 BAYVIEW AVE Toronto, ON",Midtown Toronto,1148000,43.717461,-79.37886,M4N 3J5,Old Toronto
"#2308 - 88 SHEPPARD AVE E Toronto, ON",Willowdale,399800,43.763969,-79.407013,M2N 0G9,Sheppard Avenue East
"#827 - 2 EVA RD Toronto, ON",Eatonville,274900,43.639694,-79.563148,M9C 4Z5,Eva Road
"#711 - 125 PETER ST Toronto, ON",Downtown,401900,43.648296,-79.39295200000001,M5V 0M3,Peter Street
"#1702 - 210 SIMCOE ST Toronto, ON",Downtown,388800,43.652451,-79.388931,M5T 0A9,Michael Sweet Avenue
"63 COUNCIL CRES Toronto, ON",Jane and Finch,599900,43.759514,-79.491844,M3J 1J5,Council Crescent
"#1508 - 121 MCMAHON DR Toronto, ON",Bayview Village,478000,43.767746,-79.370918,M2K 1C2,McMahon Drive
"#738 - 650 LAWRENCE AVE W Toronto, ON",Lawrence Heights,357000,43.717121,-79.441757,M6A 3E8,Lawrence Avenue West
"#3501 - 70 TEMPERANCE ST Toronto, ON",Downtown,593900,43.650372,-79.382347,M5H 3V5,Sheppard Street
"#108 - 525 WILSON AVE Toronto, ON",Wilson Heights,455000,43.734478,-79.446472,M3H 1V1,North York
