Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"#49 - 49 HENDON AVE Toronto, ON",Newtonbrook,520000,43.780727,-79.419991,M2M 1A4,North York
"#1008 - 5 NORTHTOWN WAY Toronto, ON",Willowdale,335000,43.774994,-79.413467,M2N 7A1,North York
"#2504 - 2220 LAKE SHORE BLVD W Toronto, ON",Mimico,425000,43.62273,-79.483192,M8V 0C1,Etobicoke
"#108 - 275 BAMBURGH CIRC Toronto, ON",Steeles,381000,43.81361,-79.32341,M1W 3X4,Scarborough
"#1202 - 185 BONIS AVE Toronto, ON",Tam O'Shanter,338000,43.785805,-79.292114,M1T 3W6,Scarborough
"#2208 - 100 ANTIBES DR Toronto, ON",Newtonbrook,299000,43.780666,-79.446335,M2R 3N1,North York
"#509 - 525 WILSON AVE Toronto, ON",Wilson Heights,339900,43.734478,-79.446472,M3H 1V1,Toronto
"80 HEPSCOTT TERR Toronto, ON",L'Amoreaux,799000,43.793324,-79.327263,M1W 1E1,Scarborough
"#27 - 242 JOHN GARLAND BLVD Toronto, ON",Rexdale,200000,43.73354,-79.592949,M9V 1N8,Etobicoke
"7 LANDOUR AVE Toronto, ON",Silverthorn,829000,43.687645,-79.477287,M6M 4J3,York
"4937 DUNDAS ST W Toronto, ON",Islington,54900,43.648006,-79.529228,M9A 1B6,Etobicoke
"90 GLEN PARK AVE Toronto, ON",Midtown Toronto,1395000,43.711784,-79.43515,M6B 2C3,North York
"#1210 - 275 BAMBURGH CIRC Toronto, ON",Steeles,269000,43.81361,-79.32341,M1W 3X4,Scarborough
"225 ATLAS AVE Toronto, ON",Midtown Toronto,1420000,43.688213,-79.433723,M6C 3P6,York
"108 AYLESWORTH AVE Toronto, ON",Birch Cliff,455000,43.701328,-79.264549,M1N 2J6,Scarborough
"567 MELROSE AVE Toronto, ON",Nortown,2388000,43.727737,-79.42942,M5M 2A4,North York
"55 LAURIE SHEPWAY WAY Toronto, ON",Don Valley Village,669000,43.773926,-79.361595,M2J 1X6,North York
"33 PUMA DR Toronto, ON",L'Amoreaux,599000,43.802258,-79.298607,M1V 1J7,Scarborough
"#155 - 68 DRIFTWOOD AVE Toronto, ON",Jane and Finch,239900,43.753849,-79.513535,M3N 2M5,North York
"17 WHITBREAD CRES Toronto, ON",Jane and Finch,575000,43.74192,-79.509659,M3L 2A8,North York
"36 CASTLEBAR RD Toronto, ON",The Queensway,849500,43.631695,-79.510124,M8Z 2J6,Etobicoke
"92 BLANTYRE AVE Toronto, ON",Birch Cliff,2348900,43.678131,-79.280182,M1N 2R5,Scarborough
"#302 - 801 SHEPPARD AVE W Toronto, ON",Wilson Heights,318000,43.752892,-79.449783,M3H 2T3,North York
"#601 - 1888 BAYVIEW AVE Toronto, ON",Midtown Toronto,1148000,43.717461,-79.37886,M4N 3J5,Toronto
"#2308 - 88 SHEPPARD AVE E Toronto, ON",Willowdale,399800,43.763969,-79.407013,M2N 0G9,North York
"#827 - 2 EVA RD Toronto, ON",Eatonville,274900,43.639694,-79.563148,M9C 4Z5,Etobicoke
"#711 - 125 PETER ST Toronto, ON",Downtown,401900,43.648296,-79.392952,M5V 0M3,Old Toronto
"#1702 - 210 SIMCOE ST Toronto, ON",Downtown,388800,43.652451,-79.388931,M5T 0A9,Old Toronto
"63 COUNCIL CRES Toronto, ON",Jane and Finch,599900,43.759514,-79.491844,M3J 1J5,North York
"#1508 - 121 MCMAHON DR Toronto, ON",Bayview Village,478000,43.767746,-79.370918,M2K 1C2,North York
"#738 - 650 LAWRENCE AVE W Toronto, ON",Lawrence Heights,357000,43.717121,-79.441757,M6A 3E8,North York
"#3501 - 70 TEMPERANCE ST Toronto, ON",Downtown,593900,43.650372,-79.382347,M5H 3V5,Old Toronto
"#108 - 525 WILSON AVE Toronto, ON",Wilson Heights,455000,43.734478,-79.446472,M3H 1V1,Toronto
"#1902 - 35 HOLLYWOOD AVE Toronto, ON",Willowdale,399000,43.765842,-79.410057,M2N 0A9,Canada
"#1414 - 85 BLOOR ST E Toronto, ON",Downtown,419000,43.670372,-79.384468,M4W 3G9,Old Toronto
"#2607 - 2200 LAKESHORE BLVD Toronto, ON",Mimico,437888,43.622883,-79.481972,M8V 1A4,Etobicoke
"#1207 - 2550 LAWRENCE AVE E Toronto, ON",Dorset Park,229000,43.751743,-79.266388,M1P 4Z3,Scarborough
"#207 - 55 ANN O&#39;REILLY RD Toronto, ON",Port Hope,497250,43.960762,-78.323914,L1A 3V5,Port Hope
"#111 - 215 FORT YORK BLVD Toronto, ON",Niagara,303400,43.636345,-79.404808,M5V 4A2,Old Toronto
"#3511 - 14 YORK ST Toronto, ON",Downtown,299999,43.641788,-79.381874,M5J 0B1,Old Toronto
"25 DELABO DR Toronto, ON",York University Heights,779000,43.76524,-79.502808,M3J 3S5,North York
"#5014 - 70 TEMPERANCE ST Toronto, ON",Downtown,419900,43.650372,-79.382347,M5H 3V5,Old Toronto
"#3105 - 33 SINGER CRT Toronto, ON",Bayview Village,475000,43.769611,-79.368416,M2K 0B4,North York
"#602 - 11 BOGERT AVE Toronto, ON",Lansing,589000,43.760517,-79.411743,M2N 0H3,North York
"9 ANTELOPE DR Toronto, ON",Rouge,899900,43.808025,-79.189018,M1B 6K4,Scarborough
"278 BETTY ANN DR N Toronto, ON",Willowdale,2498000,43.765755,-79.433098,M2R 1A8,North York
"#711 - 6 EVA RD Toronto, ON",Eatonville,289900,43.640301,-79.562302,M9C 0A9,Toronto
"#3103 - 28 TED ROGERS WAY Toronto, ON",Downtown,378000,43.670547,-79.380585,M4Y 2J4,Ontario
